iso3;EMP_1990;EMP_1995;EMP_2000;EMP_2005;EMP_2010;EMP_2011;EMP_2012;EMP_2013
TUV;-1;-1;-1;-1;-1;-1;-1;-1
UGA;-1;0,742036959;0,738088144;0,755061609;-1;0,773147098;0,874872329;0,87501101
UKR;-1;1,053902906;-1;1,081959376;1,105438383;1,105438383;1,10541577;1,113406466
ARE;-1;0,877333633;0,903806241;0,900841571;1,04727867;1,082720614;1,034404745;1,034273361
GBR;-1;0,981937835;1,014516923;1,034539478;1,055871642;1,055871642;1,17590219;1,177024658
USA;-1;1,124244562;-1;1,14227024;1,150392357;1,143672998;1,144235982;1,148390449
URY;-1;0,911903122;0,945203019;0,933292299;0,976002194;0,976002194;0,961425237;0,961331627
UZB;-1;-1;-1;-1;-1;-1;-1;-1
VUT;-1;-1;-1;-1;-1;-1;-1;-1
VEN;-1;0,820892258;-1;0,857330334;0,866788288;0,866788288;0,979628734;0,979494976
VNM;-1;0,76647675;0,786340733;0,817169262;0,851251715;0,852598581;1,057187418;1,057270158
YEM;-1;0,620002837;0,673501366;0,714166267;0,757679027;0,757679027;0,757648389;0,757873773
ZMB;-1;0,840214699;-1;0,886440813;0,902959154;0,897513674;0,898675763;0,898452216
ZWE;-1;0,914609126;-1;0,996211378;1,004628419;1,004628419;1,004505047;1,024233131
