iso3;GII2013;HLT2013;EMP2013;LFRP2013
SVN;0,021;0,767;0,673;0,579
SLB;-1;0,500;-1,000;0,663
SOM;-1;0,500;-1,000;0,564
ZAF;0,461;0,500;0,608;0,521
SSD;-1;-1,000;-1,000;-1,000
ESP;0,1;0,523;0,587;0,595
LKA;0,383;0,504;0,524;0,557
SDN;0,628;0,500;0,274;0,536
SUR;0,463;0,501;0,437;0,546
SWZ;0,529;0,500;0,465;0,576
SWE;0,054;0,537;0,658;0,641
CHE;0,03;0,618;0,673;0,683
SYR;0,556;0,501;0,386;0,430
TJK;0,383;0,501;0,641;0,678
TZA;0,553;0,500;0,193;0,891
THA;0,364;0,501;0,412;0,726
MKD;0,162;0,514;0,488;0,551
TLS;-1;0,500;-1,000;0,379
TGO;0,579;0,500;0,386;0,809
TON;0,458;0,501;0,550;0,642
TTO;0,321;0,502;0,528;0,642
TUN;0,265;0,510;0,438;0,478
TUR;0,36;0,504;0,476;0,501
TKM;-1;0,502;-1,000;0,616
TUV;-1;-1,000;-1,000;-1,000
UGA;0,529;0,500;0,375;0,776
UKR;0,326;0,503;0,613;0,598
ARE;0,244;0,507;0,534;0,688
GBR;0,193;0,508;0,677;0,623
USA;0,262;0,504;0,648;0,631
URY;0,364;0,501;0,461;0,662
UZB;-1;0,502;-1,000;0,615
VUT;-1;0,501;-1,000;0,709
VEN;0,464;0,500;0,479;0,650
VNM;0,322;0,501;0,557;0,774
YEM;0,733;0,500;0,258;0,485
ZMB;0,617;0,500;0,398;0,794
ZWE;0,516;0,500;0,524;0,864
